,season,round,circuit_id,lat,long,country,date,url
0,2000,1,albert_park,-37.8497,144.968,Australia,2000-03-12,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
1,2000,2,interlagos,-23.7036,-46.6997,Brazil,2000-03-26,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
2,2000,3,imola,44.3439,11.7167,Italy,2000-04-09,http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix
3,2000,4,silverstone,52.0786,-1.01694,UK,2000-04-23,http://en.wikipedia.org/wiki/2000_British_Grand_Prix
4,2000,5,catalunya,41.57,2.26111,Spain,2000-05-07,http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix
5,2000,6,nurburgring,50.3356,6.9475,Germany,2000-05-21,http://en.wikipedia.org/wiki/2000_European_Grand_Prix
6,2000,7,monaco,43.7347,7.42056,Monaco,2000-06-04,http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix
7,2000,8,villeneuve,45.5,-73.5228,Canada,2000-06-18,http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
8,2000,9,magny_cours,46.8642,3.16361,France,2000-07-02,http://en.wikipedia.org/wiki/2000_French_Grand_Prix
9,2000,10,osterreichring,47.2197,14.7647,Austria,2000-07-16,http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix
10,2000,11,hockenheimring,49.3278,8.56583,Germany,2000-07-30,http://en.wikipedia.org/wiki/2000_German_Grand_Prix
11,2000,12,hungaroring,47.5789,19.2486,Hungary,2000-08-13,http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
12,2000,13,spa,50.4372,5.97139,Belgium,2000-08-27,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
13,2000,14,monza,45.6156,9.28111,Italy,2000-09-10,http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
14,2000,15,indianapolis,39.795,-86.2347,USA,2000-09-24,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
15,2000,16,suzuka,34.8431,136.541,Japan,2000-10-08,http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
16,2000,17,sepang,2.76083,101.738,Malaysia,2000-10-22,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
17,2001,1,albert_park,-37.8497,144.968,Australia,2001-03-04,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
18,2001,2,sepang,2.76083,101.738,Malaysia,2001-03-18,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
19,2001,3,interlagos,-23.7036,-46.6997,Brazil,2001-04-01,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
20,2001,4,imola,44.3439,11.7167,Italy,2001-04-15,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix
21,2001,5,catalunya,41.57,2.26111,Spain,2001-04-29,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix
22,2001,6,osterreichring,47.2197,14.7647,Austria,2001-05-13,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix
23,2001,7,monaco,43.7347,7.42056,Monaco,2001-05-27,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix
24,2001,8,villeneuve,45.5,-73.5228,Canada,2001-06-10,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
25,2001,9,nurburgring,50.3356,6.9475,Germany,2001-06-24,http://en.wikipedia.org/wiki/2001_European_Grand_Prix
26,2001,10,magny_cours,46.8642,3.16361,France,2001-07-01,http://en.wikipedia.org/wiki/2001_French_Grand_Prix
27,2001,11,silverstone,52.0786,-1.01694,UK,2001-07-15,http://en.wikipedia.org/wiki/2001_British_Grand_Prix
28,2001,12,hockenheimring,49.3278,8.56583,Germany,2001-07-29,http://en.wikipedia.org/wiki/2001_German_Grand_Prix
29,2001,13,hungaroring,47.5789,19.2486,Hungary,2001-08-19,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix
30,2001,14,spa,50.4372,5.97139,Belgium,2001-09-02,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix
31,2001,15,monza,45.6156,9.28111,Italy,2001-09-16,http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix
32,2001,16,indianapolis,39.795,-86.2347,USA,2001-09-30,http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix
33,2001,17,suzuka,34.8431,136.541,Japan,2001-10-14,http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix
34,2002,1,albert_park,-37.8497,144.968,Australia,2002-03-03,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
35,2002,2,sepang,2.76083,101.738,Malaysia,2002-03-17,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
36,2002,3,interlagos,-23.7036,-46.6997,Brazil,2002-03-31,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
37,2002,4,imola,44.3439,11.7167,Italy,2002-04-14,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix
38,2002,5,catalunya,41.57,2.26111,Spain,2002-04-28,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix
39,2002,6,osterreichring,47.2197,14.7647,Austria,2002-05-12,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
40,2002,7,monaco,43.7347,7.42056,Monaco,2002-05-26,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
41,2002,8,villeneuve,45.5,-73.5228,Canada,2002-06-09,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
42,2002,9,nurburgring,50.3356,6.9475,Germany,2002-06-23,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
43,2002,10,silverstone,52.0786,-1.01694,UK,2002-07-07,http://en.wikipedia.org/wiki/2002_British_Grand_Prix
44,2002,11,magny_cours,46.8642,3.16361,France,2002-07-21,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
45,2002,12,hockenheimring,49.3278,8.56583,Germany,2002-07-28,http://en.wikipedia.org/wiki/2002_German_Grand_Prix
46,2002,13,hungaroring,47.5789,19.2486,Hungary,2002-08-18,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
47,2002,14,spa,50.4372,5.97139,Belgium,2002-09-01,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
48,2002,15,monza,45.6156,9.28111,Italy,2002-09-15,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix
49,2002,16,indianapolis,39.795,-86.2347,USA,2002-09-29,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix
50,2002,17,suzuka,34.8431,136.541,Japan,2002-10-13,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix
51,2003,1,albert_park,-37.8497,144.968,Australia,2003-03-09,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
52,2003,2,sepang,2.76083,101.738,Malaysia,2003-03-23,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
53,2003,3,interlagos,-23.7036,-46.6997,Brazil,2003-04-06,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
54,2003,4,imola,44.3439,11.7167,Italy,2003-04-20,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
55,2003,5,catalunya,41.57,2.26111,Spain,2003-05-04,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
56,2003,6,osterreichring,47.2197,14.7647,Austria,2003-05-18,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
57,2003,7,monaco,43.7347,7.42056,Monaco,2003-06-01,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
58,2003,8,villeneuve,45.5,-73.5228,Canada,2003-06-15,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
59,2003,9,nurburgring,50.3356,6.9475,Germany,2003-06-29,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
60,2003,10,magny_cours,46.8642,3.16361,France,2003-07-06,http://en.wikipedia.org/wiki/2003_French_Grand_Prix
61,2003,11,silverstone,52.0786,-1.01694,UK,2003-07-20,http://en.wikipedia.org/wiki/2003_British_Grand_Prix
62,2003,12,hockenheimring,49.3278,8.56583,Germany,2003-08-03,http://en.wikipedia.org/wiki/2003_German_Grand_Prix
63,2003,13,hungaroring,47.5789,19.2486,Hungary,2003-08-24,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
64,2003,14,monza,45.6156,9.28111,Italy,2003-09-14,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
65,2003,15,indianapolis,39.795,-86.2347,USA,2003-09-28,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
66,2003,16,suzuka,34.8431,136.541,Japan,2003-10-12,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
67,2004,1,albert_park,-37.8497,144.968,Australia,2004-03-07,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
68,2004,2,sepang,2.76083,101.738,Malaysia,2004-03-21,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
69,2004,3,bahrain,26.0325,50.5106,Bahrain,2004-04-04,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
70,2004,4,imola,44.3439,11.7167,Italy,2004-04-25,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
71,2004,5,catalunya,41.57,2.26111,Spain,2004-05-09,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix
72,2004,6,monaco,43.7347,7.42056,Monaco,2004-05-23,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix
73,2004,7,nurburgring,50.3356,6.9475,Germany,2004-05-30,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
74,2004,8,villeneuve,45.5,-73.5228,Canada,2004-06-13,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix
75,2004,9,indianapolis,39.795,-86.2347,USA,2004-06-20,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix
76,2004,10,magny_cours,46.8642,3.16361,France,2004-07-04,http://en.wikipedia.org/wiki/2004_French_Grand_Prix
77,2004,11,silverstone,52.0786,-1.01694,UK,2004-07-11,http://en.wikipedia.org/wiki/2004_British_Grand_Prix
78,2004,12,hockenheimring,49.3278,8.56583,Germany,2004-07-25,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
79,2004,13,hungaroring,47.5789,19.2486,Hungary,2004-08-15,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
80,2004,14,spa,50.4372,5.97139,Belgium,2004-08-29,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix
81,2004,15,monza,45.6156,9.28111,Italy,2004-09-12,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
82,2004,16,shanghai,31.3389,121.22,China,2004-09-26,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix
83,2004,17,suzuka,34.8431,136.541,Japan,2004-10-10,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix
84,2004,18,interlagos,-23.7036,-46.6997,Brazil,2004-10-24,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix
85,2005,1,albert_park,-37.8497,144.968,Australia,2005-03-06,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix
86,2005,2,sepang,2.76083,101.738,Malaysia,2005-03-20,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix
87,2005,3,bahrain,26.0325,50.5106,Bahrain,2005-04-03,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix
88,2005,4,imola,44.3439,11.7167,Italy,2005-04-24,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix
89,2005,5,catalunya,41.57,2.26111,Spain,2005-05-08,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix
90,2005,6,monaco,43.7347,7.42056,Monaco,2005-05-22,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix
91,2005,7,nurburgring,50.3356,6.9475,Germany,2005-05-29,http://en.wikipedia.org/wiki/2005_European_Grand_Prix
92,2005,8,villeneuve,45.5,-73.5228,Canada,2005-06-12,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix
93,2005,9,indianapolis,39.795,-86.2347,USA,2005-06-19,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
94,2005,10,magny_cours,46.8642,3.16361,France,2005-07-03,http://en.wikipedia.org/wiki/2005_French_Grand_Prix
95,2005,11,silverstone,52.0786,-1.01694,UK,2005-07-10,http://en.wikipedia.org/wiki/2005_British_Grand_Prix
96,2005,12,hockenheimring,49.3278,8.56583,Germany,2005-07-24,http://en.wikipedia.org/wiki/2005_German_Grand_Prix
97,2005,13,hungaroring,47.5789,19.2486,Hungary,2005-07-31,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
98,2005,14,istanbul,40.9517,29.405,Turkey,2005-08-21,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix
99,2005,15,monza,45.6156,9.28111,Italy,2005-09-04,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix
100,2005,16,spa,50.4372,5.97139,Belgium,2005-09-11,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix
101,2005,17,interlagos,-23.7036,-46.6997,Brazil,2005-09-25,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix
102,2005,18,suzuka,34.8431,136.541,Japan,2005-10-09,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix
103,2005,19,shanghai,31.3389,121.22,China,2005-10-16,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix
104,2006,1,bahrain,26.0325,50.5106,Bahrain,2006-03-12,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix
105,2006,2,sepang,2.76083,101.738,Malaysia,2006-03-19,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix
106,2006,3,albert_park,-37.8497,144.968,Australia,2006-04-02,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix
107,2006,4,imola,44.3439,11.7167,Italy,2006-04-23,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix
108,2006,5,nurburgring,50.3356,6.9475,Germany,2006-05-07,http://en.wikipedia.org/wiki/2006_European_Grand_Prix
109,2006,6,catalunya,41.57,2.26111,Spain,2006-05-14,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
110,2006,7,monaco,43.7347,7.42056,Monaco,2006-05-28,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
111,2006,8,silverstone,52.0786,-1.01694,UK,2006-06-11,http://en.wikipedia.org/wiki/2006_British_Grand_Prix
112,2006,9,villeneuve,45.5,-73.5228,Canada,2006-06-25,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix
113,2006,10,indianapolis,39.795,-86.2347,USA,2006-07-02,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix
114,2006,11,magny_cours,46.8642,3.16361,France,2006-07-16,http://en.wikipedia.org/wiki/2006_French_Grand_Prix
115,2006,12,hockenheimring,49.3278,8.56583,Germany,2006-07-30,http://en.wikipedia.org/wiki/2006_German_Grand_Prix
116,2006,13,hungaroring,47.5789,19.2486,Hungary,2006-08-06,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
117,2006,14,istanbul,40.9517,29.405,Turkey,2006-08-27,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix
118,2006,15,monza,45.6156,9.28111,Italy,2006-09-10,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix
119,2006,16,shanghai,31.3389,121.22,China,2006-10-01,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
120,2006,17,suzuka,34.8431,136.541,Japan,2006-10-08,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix
121,2006,18,interlagos,-23.7036,-46.6997,Brazil,2006-10-22,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
122,2007,1,albert_park,-37.8497,144.968,Australia,2007-03-18,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
123,2007,2,sepang,2.76083,101.738,Malaysia,2007-04-08,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix
124,2007,3,bahrain,26.0325,50.5106,Bahrain,2007-04-15,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix
125,2007,4,catalunya,41.57,2.26111,Spain,2007-05-13,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
126,2007,5,monaco,43.7347,7.42056,Monaco,2007-05-27,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix
127,2007,6,villeneuve,45.5,-73.5228,Canada,2007-06-10,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix
128,2007,7,indianapolis,39.795,-86.2347,USA,2007-06-17,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
129,2007,8,magny_cours,46.8642,3.16361,France,2007-07-01,http://en.wikipedia.org/wiki/2007_French_Grand_Prix
130,2007,9,silverstone,52.0786,-1.01694,UK,2007-07-08,http://en.wikipedia.org/wiki/2007_British_Grand_Prix
131,2007,10,nurburgring,50.3356,6.9475,Germany,2007-07-22,http://en.wikipedia.org/wiki/2007_European_Grand_Prix
132,2007,11,hungaroring,47.5789,19.2486,Hungary,2007-08-05,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
133,2007,12,istanbul,40.9517,29.405,Turkey,2007-08-26,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix
134,2007,13,monza,45.6156,9.28111,Italy,2007-09-09,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
135,2007,14,spa,50.4372,5.97139,Belgium,2007-09-16,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix
